headline,clickbait
17 Perfect Products For Embracing Your Inner Kanye,1
"Here's How To Draw A Hand, Maybe",1
Can You Identify These Movies Based On The Main Character's BFF,1
21 Tweets That Prove Your Brain Can Be A Real Dick Sometimes,1
Which Badass Lady Should Be Your Valentine Based On One Question,1
Anna Camp And Skylar Astin Are Engaged So Everything Is Finally Right In The World,1
People Are Pretending To Faint In Front Of Their Dogs To See How They React,1
Are These Smiths Lyrics Real Or Fake,1
Do You Have ESP,1
We Can Tell You Who You Should Date With Just Four Questions About Biryani,1
21 Tweets About Having Braces That Are Way Too Real,1
A Dad Surprised His Kids With His Military Homecoming By Dressing Up As A Gift From Their Elf,1
Be Honest: Would You Hit That,1
We Know What You Play In Your Private Sessions,1
18 Posts That Prove Coconut Oil Is The Answer To All Your Problems,1
19 Items Anyone Who Loves Burgers Needs To Own,1
20 Confessions From People Who Are Slightly Obsessed With Outer Space,1
21 Things All Vegetarian Couples Just Get,1
"Will Ferrell Is The New, Badass Santa",1
Mark Ruffalo Posted A Shirtless Pic Promoting Breast Cancer Awareness For Men,1
Nobody Likes Hand Jobs,1
Are You More Pinky Or The Brain,1
"No Additional Episodes Of ""Making A Murderer"" Have Been Made Yet",1
15 Times Priyanka Chopra Goddamn Owned 2015,1
25 Of The Best Tumblr Memes Of 2015,1
27 Pictures That Are Way Too Real If You Have A Four-Person Family,1
17 People Who Slayed The Eyeshadow Game,1
23 Things You Probably Shouldn't Say To Someone With Depression,1
Someone Illustrated Leslie Knope's Compliments And They're Pretty Damn Cool,1
People Don't Know Who David Bowie Is And We're Here To Clear That Up,1
Gay Drama Teacher Responds Perfectly After A Mother Pulls Her Kids From His Class,1
The 21 Best Server Memes On The Internet,1
Try And Guess What Chips These Were Before We Smashed Them,1
How Good At Spelling Are You Actually,1
Would You Be Friends With Blair Or Serena,1
For Anyone Too Tired To Go Out On The Weekend,1
What People Who Go To Therapy Want You To Know,1
"Here's A Photo Of Buff John Krasinski In ""13 Hours"" And It's Hard To Handle",1
What Obscure Thing Should You Make Sexy For Halloween,1
18 Very Sweary British Words You Need To Use Right Now,1
14 Rare Photos Of Albert Einstein That You've Probably Never Seen Before,1
"12 Reasons Kendrick Sampson From ""HTGAWM"" Is The Ultimate Bae",1
11 Struggles Women Understand Too Well,1
"Mumbai Is Sending Powerful Messages Of Love, Support, And Solidarity For Paris",1
17 Thoughts We All Had While Stalking Our Exes On Facebook,1
"I'm An Immigrant, But I'm Not",1
This Guy's Cheese Vine Perfectly Sums Up How Silly The Daily Mail Is,1
We Reenacted What Kids Said About Black Leaders And It's Amazing,1
10 Movies With A Shit-Ton Of Lesbian Subtext,1
17 Books That Perfectly Capture The Immigrant Experience,1
Beans Memes Is The Only Twitter Account That Actually Matters,1
13 Confessions About Masturbation That'll Make You Go WTF,1
"The Secondary Characters Of ""Friends,"" Then Vs. Now",1
Do You Belong In London Or San Francisco,1
24 Potato Recipes That Should Be Illegal,1
11 Charts And Graphs Every James Bond Fan Will Get,1
"How Well Do You Know Season One Of ""Buffy""",1
Only True New Jerseyans Will Ace This Quiz,1
These DIY Oreo Churros Are Next-Level Glorious,1
19 Gifts Every Classical Music Nerd Will Love,1
24 Hilarious Tweets Every Book Lover Will Appreciate,1
Which Christmas Movie Should You Watch Right Now,1
"How Well Do You Remember Season 5 Of ""The Walking Dead""",1
15 Times The Try Guys Went A Little Too Far In 2015,1
25 Things You Should Never Say To Someone With Big Boobs,1
"If ""Netflix And Chill"" Were Honest",1
"This Wounded Veteran's Service Dog Was His Best Man, And It'll Make You Bawl",1
"These Youth Football Players Quit Their Game To Do The ""Whip/Nae Nae""",1
Here's How To Make The Only Birthday Cake You'll Ever Need,1
These BFFs Are Slaying Internet Fashion,1
"Dear World, A Word Of Advice From India: Your Butts Are Dirty",1
Would You Pass Environmental Science Now,1
25 Things You'll Only Get If You're Obsessed With Baths,1
Amber Rose Had A Lot To Say About Kanye After Their Twitter War,1
"23 Important Life Lessons ""The Hunger Games"" Have Taught Us",1
15 Game-Changing Eyeliner Charts If You Suck At Makeup,1
17 Beauty Hacks You Should Try In 2016,1
17 Things Only Women Who Aren't That Into Makeup Will Understand,1
15 Hits From 1996 That'll Make You Feel Old AF,1
24 Pictures That Show 2016 Is Off To A Terrible Start,1
What's The Most Beautiful College Campus In The World,1
8 Urban Dictionary Definitions You Need To Know,1
Here's Everything You Need To Know About Renters Insurance,1
Adele Said A Mic Dropped In The Piano And That's Why Her Grammy Performance Was Off,1
31 Celebrity Babies We Said Hello To In 2015,1
19 Silly Assumptions About Singles In Their Thirties,1
The Food At Electric Picnic This Year Looks Amazing,1
"If ""Dragon Ball Z"" Characters Had Realistic Proportions",1
15 Ridiculously Awkward Sex Questions Parents Have Actually Asked Their Kids,1
16 Times Costco Failed So Hard It Almost Won,1
Which X-Men Character Are You Based On Your Zodiac Sign,1
13 Things All Slytherins Will Need In 2016,1
12 People Who Are Going To Have A Really Hard Time Doing Their Job In That Costume,1
We Need To Acknowledge That Niall Is The Most Underrated Member Of One Direction,1
We Know How Many Times You Masturbated Last Week,1
Are You More Nick Or Joe Jonas,1
What Being A Straight Woman On Tinder Has Taught Me,1
You'll Be In Tears After Hearing Josh Groban And Kelly Clarkson Duet,1
17 Easy Slow Cooker Soups That Will Warm You Right Up,1
21 Desserts That Prove Bourbon Makes Everything Better,1
23 Times Liz Lemon Spoke The Goddamn Truth,1
If Wedding Magazines Were More Realistic,1
Oscar Nominee Brie Larson Had The Most 2000s Music Career Of All Time,1
Explaining Rap Lyrics Will Get You Fired As An Election Candidate In Canada,1
15 Ooey Gooey Snacks That Take Cheese To The Next Level,1
Which Oscar Winner Are You Based On Your Zodiac Sign,1
Adele Is Currently Experiencing What She Put All Of Us Through For The Last Four Years,1
16 Things You See When You Go To Tim Hortons At 6 A.M,1
15 Weird Things You Never Knew There Were Words For,1
17 Instagram Photos Every Short Girl Can Relate To,1
17 Delicious Winter Smoothies That Will Jump Start Your Mornings,1
"Which ""Breaking Bad"" Character Said These Famous Last Words",1
21 Weird Punishments People Actually Got When They Were Kids,1
"Jamie And Claire Are Looking Damn Good In ""Outlander"" Season 2",1
Literally A Bunch Of Fucked Up Memes About Caillou (That Are Great),1
Are You More Tinker Bell Or Belle,1
"Rihanna And Drake Are So Cute In The ""Work"" Video It Hurts",1
"Ryan Phillippe Comes For Amy Schumer In This Deleted ""Trainwreck"" Scene",1
Matthew McConaughey Has Reached Peak Hot Dad Mode,1
13 Animal Masturbation Facts That Will Make You Feel Better About Being Single AF,1
This Moment Between A Starbucks Barista And A Deaf Customer Is Going Viral,1
7 Insanely Delicious Ways To Eat Leftover Halloween Candy,1
Here's What It's Like When You Physically Can't Pierce Your Ears,1
"Adam Woodyatt Is Upset A #HowsAdam Moment Didn't Happen During The ""Corrie"" Live Episode",1
What Should You Watch On Netflix This October,1
7 Really Delicious Dinners For The Week,1
What Would A Disney Movie Of Your Life Be Like,1
"Which ""The Lego Movie"" Character Are You",1
"Do You Remember The Lyrics To ""Naked Mole Rap"" From ""Kim Possible""",1
What Percent Vegan Are You,1
"The New Trailer For ""Orange Is The New Black"" Looks Seriously Intense",1
Which Perpetually Miserable Disney Character Are You Really,1
6 Easy Holiday Gifts You Can Give Everyone In Your Squad,1
Here's How To Make A Floral Dog Leash For A Winter Wedding,1
This Is Why You Don't Fuck With A Crocodile,1
"The New Trailer For ""The Secret Life Of Pets"" Is Here And It's Adorable",1
"Here's A Mindblowing ""Harry Potter"" Fan Theory About The Avada Kedavra Curse",1
Black Friday Is Your Chance To Get The Naked Palettes On Sale,1
This Korean Pop Star Can't Stop Falling On Stage During Her Performance,1
This Film About Pixar's Tributes To Classic Cinema Is Brilliant,1
31 Two-Person Costumes Guaranteed To Up Your Halloween Game,1
21 Struggles Everyone Who Has Done A Dissertation Will Understand,1
"Rory Williams Has Pretty Much Graduated From Companion To Doctor On ""Legends Of Tomorrow""",1
Every Girl Who Has Tried A Makeup Tutorial Will Recognize These Struggles,1
25 Times Hipster Britain Went Too Damn Far,1
"What Percentage Kardashian Are You, Based On 3 Questions",1
Do Bangs Make These Celebrities More Bangable,1
I JUST POOPED MY PANTS,1
Here's How To Not Get Sick When You're Traveling,1
"The Cast Of ""Parks And Rec"" In Their First Episode Vs. Their Last Episode",1
Do You Actually Prefer Chris Pratt Or Chris Hemsworth,1
We Need To Talk About American Thanksgiving,1
19 Pictures That Are Way Too Real During Finals,1
Do You Actually Know How Much Alcohol You're Drinking,1
Behold The Most Terrifying Mascot To Ever Exist,1
25 Fans Who Are More Genius Than The Players,1
"Which ""White Chick"" Are You",1
What Your Favorite Pop Divas Looked Like In 2006 Vs. Now,1
Kanye West And Wiz Khalifa Are Officially Drama Free,1
The 20 Worst Times To Make Eye Contact,1
27 Last-Minute Stocking Stuffers For Every Fandom,1
Do You Remember When People Thought Green M&M's Made You Horny,1
Every Piece Of Evidence That Proves Anna Faris And Chris Pratt Have The Cutest Family In Existence,1
Which Male Actor Should You Get For Christmas Based On The First Letter Of Your Name,1
"Michael B. Jordan Got Laid The Fuck Out While Filming ""Creed""",1
"Do You Remember The Lyrics To ""Last Friday Night"" By Katy Perry",1
These People Tried To Figure Out Where Max And Ruby's Parents Are,1
What Does Your Favorite Classic Video Game Mascot Say About You,1
Should You Get An Oscar Or Leonardo DiCaprio,1
33 Things Russia Does Differently Than Everywhere Else On Earth,1
16 Nostalgic Video Game Mashups That'll Have You Grooving,1
The Year 2015 In Charts,1
17 Life-Changing Ways To Eat PB&J,1
Rachel Bilson And Kristen Bell Are Your New Mom-Friend Goals,1
These Could Be The Coolest Baby Names In 2016,1
Questions Gay People Have For Bisexual People,1
Ask An Expert: What Is Mindfulness And Why Should You Try It,1
Here's What Beauty Ads Would Look Like If They Only Used The Advertised Product,1
21 Products For People Who Are Completely Obsessed With Poodles,1
Kathy Griffin And Kristin Chenoweth Talk About Their Worst Heckler Stories,1
Which Of The Pope's Hot Tracks Will Be Your Fall Anthem,1
"We Know Which ""Walking Dead"" Character You Are Based On Your Zodiac",1
This Is The Hardest '90s Alt Rock Music Video Quiz You'll Ever Take,1
24 Healthy On-The-Go Breakfast Ideas,1
"These 24 Moments From ""Pride & Prejudice"" Will Make Your Heart Melt",1
"Can You Identify A Show By Looking At An Old ""TV Guide"" Cover",1
